userId,itemId,rating
22,264,2
1138,264,5
1160,264,3
1217,264,3
1572,264,3
1631,264,3
1897,264,4
2067,264,4
780,264,3
2391,264,3
2429,264,5
1123,264,3
2882,264,4
3109,264,4
3171,264,5
3263,264,3
2684,264,4
3410,264,1
3569,264,4
3798,264,5
3999,264,4
4254,264,1
4404,264,4
4903,264,5
5080,264,2
3215,264,4
5577,264,5
575,264,4
7821,264,2
2960,264,3
5943,264,4
163,264,3
6331,264,3
6367,264,3
6405,264,4
7023,264,5
7305,264,2
7657,264,3
6715,264,4
7979,264,5
35,264,2
8154,264,5
8252,264,4
3590,264,5
9085,264,3
9189,264,4
3907,264,3
4021,264,4
9626,264,3
10380,264,4
10902,264,3
10910,264,2
10984,264,2
11039,264,3
11043,264,3
6755,264,4
11268,264,4
3487,264,4
8433,264,5
12874,264,3
12924,264,3
13647,264,3
13697,264,5
13776,264,4
14150,264,5
14414,264,2
14582,264,5
5528,264,5
14885,264,4
14933,264,4
14892,264,4
15226,264,4
15281,264,3
15313,264,4
15429,264,4
4052,264,4
15776,264,5
16009,264,4
16198,264,2
9554,264,5
16344,264,5
16832,264,5
17302,264,5
17375,264,3
17447,264,2
17477,264,5
17603,264,4
17694,264,3
18010,264,4
18076,264,4
17957,264,4
18348,264,5
12758,264,2
13184,264,3
18736,264,4
18855,264,5
18817,264,5
19083,264,3
19196,264,3
9631,264,4
19208,264,5
19233,264,3
19259,264,3
19578,264,5
19812,264,4
19834,264,3
17741,264,3
19582,264,2
20110,264,2
20632,264,4
20731,264,5
21162,264,2
19751,264,4
21266,264,3
21733,264,2
21936,264,1
22200,264,3
22417,264,4
22510,264,4
22569,264,4
13404,264,3
23150,264,3
23096,264,4
23777,264,5
23902,264,5
24008,264,4
24164,264,4
24476,264,5
24691,264,4
8586,264,5
24818,264,5
23509,264,4
24904,264,3
25182,264,5
25366,264,3
11483,264,4
26149,264,5
26387,264,5
26429,264,4
26433,264,3
6604,264,5
26920,264,3
25886,264,3
27263,264,4
27266,264,5
20447,264,3
27472,264,5
27538,264,5
27568,264,4
27604,264,3
28106,264,5
28861,264,3
29074,264,4
29330,264,4
28703,264,3
29478,264,5
30081,264,4
30539,264,5
30745,264,5
30767,264,4
30514,264,5
31369,264,5
31503,264,5
32289,264,4
32514,264,2
32843,264,3
32970,264,4
33356,264,5
33273,264,5
33480,264,4
33500,264,4
33682,264,4
34053,264,4
33179,264,4
31220,264,4
30781,264,4
34708,264,3
33968,264,4
35531,264,3
23446,264,4
35669,264,4
36405,264,4
30284,264,5
1848,264,3
28560,264,3
37221,264,5
37306,264,5
37700,264,5
37941,264,3
38694,264,4
38865,264,2
37919,264,3
39383,264,4
39616,264,3
40443,264,5
40564,264,5
40904,264,4
27181,264,3
41738,264,4
41743,264,4
41959,264,2
41169,264,4
42632,264,3
43227,264,3
33324,264,5
43602,264,5
43918,264,5
44005,264,5
44194,264,3
19481,264,4
44370,264,3
24143,264,4
43371,264,4
33338,264,4
39670,264,2
45777,264,4
46470,264,3
46787,264,3
46870,264,4
42886,264,4
9739,264,3
47835,264,3
48169,264,3
42939,264,5
48269,264,3
48562,264,3
48830,264,2
48871,264,3
48946,264,4
48522,264,4
49784,264,4
50012,264,4
50815,264,4
50900,264,2
45554,264,5
17518,264,3
35401,264,3
52148,264,4
52886,264,5
52936,264,4
53289,264,3
15157,264,3
53403,264,4
22,284,4
769,284,5
916,284,2
1219,284,1
1034,284,3
1232,284,4
1361,284,4
1374,284,5
1586,284,3
1794,284,5
2067,284,2
2124,284,5
2186,284,4
2218,284,3
3191,284,4
3216,284,2
3263,284,1
3428,284,1
3569,284,3
3390,284,5
3786,284,2
4325,284,4
908,284,4
3350,284,2
4903,284,4
4963,284,4
5206,284,2
5503,284,2
5577,284,5
5686,284,5
575,284,4
3366,284,4
6227,284,4
6314,284,5
6367,284,3
6668,284,4
6753,284,5
6185,284,3
7023,284,3
7305,284,2
7539,284,5
2328,284,5
7639,284,5
8154,284,4
8379,284,3
4467,284,3
8424,284,1
8665,284,4
9019,284,4
9112,284,4
4021,284,3
8939,284,4
9650,284,3
9916,284,4
10048,284,4
10902,284,3
11255,284,3
10315,284,3
11628,284,4
11842,284,4
12230,284,4
12254,284,3
12654,284,3
12706,284,4
12890,284,4
12924,284,3
14150,284,5
14239,284,3
14467,284,4
14582,284,4
14706,284,3
5528,284,2
14885,284,2
193,284,3
15318,284,3
15442,284,3
15477,284,5
15776,284,5
16360,284,4
14785,284,2
16434,284,4
16751,284,5
16863,284,4
17071,284,4
17181,284,4
17196,284,2
252,284,3
17375,284,5
17477,284,3
17694,284,4
17944,284,2
18496,284,3
19121,284,3
9631,284,5
19834,284,4
20035,284,4
20870,284,4
19751,284,4
1181,284,1
17668,284,4
21712,284,4
10169,284,3
16111,284,4
23296,284,3
23318,284,3
23477,284,4
24008,284,2
23991,284,4
24361,284,4
24515,284,4
26542,284,4
26854,284,4
26940,284,5
27362,284,4
27462,284,5
27604,284,5
27850,284,3
28481,284,4
28861,284,4
28841,284,4
29330,284,3
29477,284,5
29819,284,4
30351,284,4
30514,284,5
29904,284,2
31430,284,3
31746,284,2
32168,284,4
30866,284,1
31235,284,5
18649,284,3
33263,284,5
33480,284,5
33500,284,4
33682,284,3
33993,284,3
33179,284,3
34562,284,4
30197,284,2
18666,284,5
16000,284,3
34819,284,5
34708,284,4
24035,284,3
35766,284,5
35840,284,4
19328,284,5
36405,284,4
30284,284,5
36365,284,4
36591,284,1
36909,284,2
37191,284,4
37221,284,3
37439,284,5
37769,284,4
37857,284,5
37883,284,5
38206,284,5
38578,284,3
38865,284,4
38875,284,5
16498,284,5
39524,284,2
9394,284,4
39720,284,4
39775,284,5
19840,284,2
40731,284,4
41108,284,5
41579,284,3
24372,284,4
40804,284,2
2195,284,5
42365,284,4
42504,284,4
41169,284,2
41842,284,3
43182,284,3
44005,284,5
19481,284,1
44363,284,2
44606,284,3
44617,284,5
43313,284,4
44704,284,4
45919,284,4
46628,284,4
46787,284,4
44705,284,3
47959,284,4
39574,284,3
48580,284,4
49268,284,4
49355,284,3
49643,284,5
49708,284,3
49764,284,2
49784,284,3
48825,284,2
50436,284,2
50650,284,4
50694,284,5
50815,284,4
45554,284,4
51092,284,4
18470,284,1
45022,284,4
53309,284,5
22,350,5
31,350,4
1361,350,2
2067,350,3
780,350,3
3191,350,5
3410,350,5
3504,350,3
4404,350,5
3350,350,4
4803,350,2
5481,350,5
5569,350,4
575,350,3
5859,350,3
6668,350,4
6723,350,3
6753,350,3
7657,350,5
7919,350,5
8154,350,5
8252,350,5
8334,350,5
8424,350,2
3590,350,5
8835,350,4
9019,350,5
9090,350,3
9349,350,5
8939,350,4
10917,350,4
11255,350,4
11842,350,4
12415,350,5
12654,350,3
12675,350,5
12706,350,3
13776,350,4
14004,350,4
14454,350,5
14885,350,2
4052,350,4
16474,350,5
14257,350,4
16751,350,4
16916,350,5
17302,350,5
17477,350,3
17540,350,4
17603,350,4
17694,350,4
14322,350,5
17944,350,5
19181,350,4
19324,350,5
19578,350,4
20542,350,3
20763,350,5
20911,350,3
19751,350,5
14433,350,5
22227,350,3
22501,350,5
22753,350,4
22843,350,4
23303,350,4
23430,350,4
23639,350,3
23995,350,4
24008,350,3
24217,350,5
24361,350,5
24498,350,5
25144,350,5
26179,350,5
26940,350,5
27152,350,3
28100,350,5
28803,350,4
29330,350,5
29447,350,4
29819,350,4
29988,350,5
30767,350,3
30514,350,5
31746,350,5
31932,350,5
32179,350,5
31235,350,3
32653,350,3
32929,350,5
33480,350,5
34562,350,5
30197,350,5
35520,350,5
35531,350,4
35711,350,4
19328,350,5
30284,350,5
37309,350,3
38062,350,2
38206,350,3
38751,350,4
38875,350,4
13058,350,3
38992,350,5
39899,350,5
40564,350,4
40731,350,5
41579,350,3
41591,350,2
41738,350,3
42134,350,5
42158,350,5
41169,350,4
15705,350,5
32914,350,4
43329,350,4
43602,350,5
19481,350,2
44363,350,3
44617,350,5
43313,350,5
46787,350,4
44705,350,4
27841,350,4
48232,350,4
48370,350,4
48525,350,3
48720,350,4
48183,350,4
49355,350,3
49662,350,5
49708,350,4
49764,350,5
50183,350,5
50285,350,4
50343,350,4
50432,350,5
50650,350,4
50694,350,5
50815,350,4
50846,350,3
45554,350,4
45040,350,3
52335,350,5
52428,350,4
53309,350,5
22,442,4
455,442,5
658,442,4
2704,442,4
1871,442,5
3191,442,4
4207,442,4
6194,442,4
6121,442,4
6874,442,4
4690,442,4
8060,442,3
8154,442,5
3720,442,5
3590,442,3
6540,442,4
9324,442,4
9626,442,4
9714,442,4
10136,442,4
1072,442,4
10975,442,1
12155,442,3
12415,442,4
12444,442,2
12558,442,4
14581,442,5
15166,442,4
15369,442,3
15442,442,3
15746,442,1
15781,442,2
7111,442,4
17302,442,4
17540,442,4
17624,442,2
17697,442,4
18049,442,4
18627,442,3
18653,442,5
19181,442,5
19375,442,5
19894,442,5
20035,442,3
21540,442,4
23768,442,5
24032,442,4
25205,442,4
25658,442,4
23391,442,5
26933,442,5
28106,442,4
28157,442,5
29046,442,4
29330,442,5
22537,442,1
30259,442,4
32293,442,5
33163,442,4
33346,442,5
33993,442,1
10005,442,4
35359,442,5
35666,442,2
36623,442,5
37106,442,5
37617,442,4
38388,442,4
39041,442,5
40564,442,4
23708,442,2
41694,442,5
42365,442,5
